Estado,ACTION[$],ACTION['!='],ACTION['%'],ACTION['&'],ACTION['('],ACTION[')'],ACTION['*'],ACTION['**'],ACTION['+'],ACTION[','],ACTION['-'],ACTION['/'],ACTION[':'],ACTION[';'],ACTION['<'],ACTION['<='],ACTION['='],ACTION['=='],ACTION['>'],ACTION['>='],ACTION['EOF'],ACTION['False'],ACTION['IDENTIFIER'],ACTION['NUMBER'],ACTION['STRING'],ACTION['True'],ACTION['['],ACTION[']'],ACTION['and'],ACTION['break'],ACTION['continue'],ACTION['def'],ACTION['do'],ACTION['else'],ACTION['for'],ACTION['if'],ACTION['in'],ACTION['not'],ACTION['or'],ACTION['range'],ACTION['return'],ACTION['while'],ACTION['{'],ACTION['|'],ACTION['}'],GOTO[<add_op>],GOTO[<additiveExpr>],GOTO[<additive_tail>],GOTO[<argList>],GOTO[<arg_list_tail>],GOTO[<assignmentExpr>],GOTO[<assignment_tail>],GOTO[<bitwiseAndExpr>],GOTO[<bitwiseOrExpr>],GOTO[<bitwise_and_tail>],GOTO[<bitwise_or_tail>],GOTO[<block>],GOTO[<brace_block>],GOTO[<breakStatement>],GOTO[<comparisonExpr>],GOTO[<comparison_op>],GOTO[<comparison_tail>],GOTO[<continueStatement>],GOTO[<defStatement>],GOTO[<doWhileStatement>],GOTO[<expr_list_tail>],GOTO[<expression>],GOTO[<expressionList>],GOTO[<expressionStatement>],GOTO[<forStatement>],GOTO[<ifStatement>],GOTO[<logicalAndExpr>],GOTO[<logicalNotExpr>],GOTO[<logicalOrExpr>],GOTO[<logical_and_tail>],GOTO[<logical_or_tail>],GOTO[<mul_op>],GOTO[<multiplicativeExpr>],GOTO[<multiplicative_tail>],GOTO[<optional_args>],GOTO[<optional_else>],GOTO[<optional_expr_list>],GOTO[<optional_params>],GOTO[<paramList>],GOTO[<param_list_tail>],GOTO[<postfix>],GOTO[<postfixExpr>],GOTO[<postfix_list>],GOTO[<powerExpr>],GOTO[<power_tail>],GOTO[<primary>],GOTO[<program>],GOTO[<range_args>],GOTO[<range_args_tail2>],GOTO[<range_args_tail>],GOTO[<returnStatement>],GOTO[<return_body>],GOTO[<statement>],GOTO[<statement_list>],GOTO[<unaryExpr>],GOTO[<whileStatement>]
22,,,,,,r50,,,,r50,,,r50,r50,,,r50,,,,,,,,,,,r50,r50,,,,,,,,,,r50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,r48,,,,r48,,,r48,r48,,,r48,,,,,,,,,,,r48,s68,,,,,,,,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,r42,,,,r42,,,r42,r42,,,s70,,,,,,,,,,,r42,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,,,,,,,r89,r89,r89,,,,,,,,,,r89,,,,,r89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,s26,,,,,,s3,,,,,,,,,,,s5,s25,s40,s27,s18,s11,,,,,,,,,,,s13,,,,,,,,,42,,,,6,,36,22,,,,,,43,,,,,,,72,,,,,38,23,24,,,,4,,,,,,,,,34,,41,,2,,,,,,,,,20,
27,,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,,,,,,,r91,r91,r91,,,,,,,,,,r91,,,,,r91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,s26,,,,,,s3,,,,,,,,,,,s5,s25,s40,s27,s18,s11,,,,,,,,,,,s13,,,,,,,,,42,,,,6,,36,22,,,,,,43,,,,,,,73,,,,,38,23,24,,,,4,,,,,,,,,34,,41,,2,,,,,,,,,20,
29,,,,,r11,,,,,,r11,,,,,,,,,,r11,r11,r11,r11,r11,r11,r11,,,r11,r11,r11,r11,,r11,r11,,r11,,,r11,r11,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,r9,,,,,,r9,,,,,,,,,,r9,r9,r9,r9,r9,r9,r9,,,r9,r9,r9,r9,,r9,r9,,r9,,,r9,r9,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,r4,,,,,,r4,,,,,,,,,,r4,r4,r4,r4,r4,r4,r4,,,r4,r4,r4,r4,,r4,r4,,r4,,,r4,r4,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,s75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,r81,r81,r81,,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,,,,,,,,r81,r81,,,,,,,,,,r81,,,,,r81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,r12,,,,,,r12,,,,,,,,,,r12,r12,r12,r12,r12,r12,r12,,,r12,r12,r12,r12,,r12,r12,,r12,,,r12,r12,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,r53,,,,r53,,,r53,r53,,,r53,,,,,,,,,,,r53,r53,,,,,,,,,,r53,,,,,s76,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
